,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
10,해산물 샤브샤브,"새우 13g, 모시조개 15g, 굴 25g, 패주 5g, 오징어 10g, 당귀잎 2.5g, 배추잎 2.5g, 샐러리잎 2.5g, 백만송이버섯 2.5g, 쑥갓 1.3g, 팽이버섯 1.3g, 곤약 2.5g, 단호박 5g [소스소개] 통깨소스:다시물 9g, 볶은통깨 3.8g, 피넷버터 5.8g, 맛술 0.5g, 식초 1g, 타비스코 소스 1g, 진간장 1g","['새우는 내장을 제거하고 오징어는 껍질을 벗겨 안쪽에 대각선으로 칼집을 넣어 5x6cm로 썬다.', '굴은 소금물에 흔들어 씻고 패주는 3등분 하고 모시조개는 소금물에 담가 해감시킨다.', '곤약은 2x4cm로 썰어 가운데 칼집을 넣어 꼬아주고 버섯들은 찢어 준비한다.', '쑥갓, 셀러리, 당귀잎은 잎만 뜯어 준비하고 배추잎은 저며 썬다.', '통깨를 갈고 그 밖에 재료들은 모두 섞어 가는 체에 내려 땅콩 소스를 만든다.', '냄비에 다시마 국물을 붓고 소금으로 약하게 간을 한 다음 해산물과 채소를 번갈아 가면서 익혀 소스에 찍어 먹는다.']",125.0,5.8,12.0,6.1,144
11,고등어구이,"고등어 70g, 밀가루 4g[소스소개]저나트륨발사믹소스:간장 1g, 올리브오일 13g, 발사믹식초 6g, 꿀 4g","['손질된 고등어는 5cm 길이로 토막낸 뒤 껍질에 칼집을 넣는다.', '칼집 낸 고등어에 밀가루를 묻힌다.', '오븐을 200℃로 예열한다.', '간장, 올리브오일, 발사믹식초, 꿀을 섞어 소스를 완성한다.', '고등어를 팬에 넣어 오븐에 굽는다.', '저나트륨발사믹소스와 구운 고등어를 함께 제공한다.']",279.9,6.3,14.7,20.3,105
12,골뱅이무침,"골뱅이 25g, 양파 13g, 대파 0.8g, 오이 25g, 미나리 13g, 깻잎 3g [소스소개]저나트륨초고추장소스:고추가루 1g, 생강즙 1g, 사과주스 10g, 설탕 10g, 고추장 2g, 식초 3g, 깨소금 1g, 참기름 1.3g, 마늘다진것 1g, 청고추 5g, 홍고추 5g","['양파와 대파는 채 썰고 오이는 반달썰기한다.', '미나리와 깻잎은 다지듯 썬다.', '골뱅이는 물기를 제거하고 한 입 크기로 썬다.', '대파 채는 얼음물에 담가 둔다.', '저나트륨 초고추장소스를 만든다.', '내기 직전에 무친 후 완성한다.']",104.0,17.5,5.1,2.4,202
13,굴 두부 국,"굴 20g, 두부 20g, 마늘다진것 1g, 실파 2g, 김 0.3g, 새우젓 0.5g, 소금 0.2g, 참기름 1g, 다시마 육수 100g, 홍고추 1g","['굴은 소금으로 깨끗이 씻어 물기를 뺀다.', '두부는 2x2x1cm 크기로 썰고, 실파는 2cm 길이로 자른다.', '김은 구워서 잘게 찢거나 가위로 자른다.', '고추는 채썰어 씨를 제거한다.', '다시마 육수를 끓이다가 두부와 굴을 넣고 뭉근히 끓인 뒤 새우젓과 다진 마늘을 넣고 한소끔 끓인다.', '실파와 홍고추를 넣고 마지막에 김과 참기름을 넣는다.']",49.5,3.5,4.8,2.8,257
14,과일퓨레수제함박스테이크,"쇠고기(우둔) 12g, 돼지고기(전지) 23g, 도라지 1.3g, 사과 2.2g, 배 2.2g, 깐연근 1.7g, 토마토 9g, 깐양파 9.5g, 양송이버섯 1.3g, 당근 11.4g, 청피망 2.3g, 달걀 7g, 빵가루 5g, 파인애플 6.6g, 방울토마토 3g, 버터 1.2g, 밀가루 1.2g, 레몬 0.8g, 후추 1g, 생강 1g, 소금 0.1g","['도라지, 사과, 배, 연근은 갈아서 뭉근하게 조려 퓨레를 만든다.', '연근, 토마토, 양파, 양송이버섯, 당근, 청피망 등 모든 채소는 곱게 다진다.', '고기에 퓨레, 달걀, 후추, 생강, 빵가루를 넣어 찰지게 반죽하고 납작하게 빚어서 오븐에 굽는다.', '소스제조를 위해 밀가루, 버터를 볶아 루를 만든다.', '④에 ②에서 다져놓은 야채를 넣어 끓이고, 소금간과 레몬즙을 뿌려준다.', '구운 수제함박스테이크에 새싹채소-파인애플-방울토마토 순으로 장식하고 소스와 함께 제공한다.']",166.0,14.9,11.7,6.6,377.5
15,달콤과일깍두기,"?필수  : 무(20g), 배(10g), 참외(10g), 마늘(1g), 새우젓(0.5g), 생강(0.5g), 실파(1g)?양념 : 고춧가루(1g), 통깨(0.5g)","['배와 참외는 1~1.5cm 크기로 깍둑 썬다.', '무는 1~1.5cm 크기로 깍둑 썬다.', '실파는 1cm 길이로 썬다.', '새우젓, 마늘, 생강은 곱게 다진다.', '고춧가루, 새우젓, 마늘, 생강, 통깨를 버무려 양념장을 만든다.', '배, 참외, 무, 실파에 양념장을 넣어 버무린다.']",19.9,3.8,0.7,0.2,19.8
17,해조비빔국수,"[ 2인분 ] 오이(⅓개), 양파(⅓개), 파프리카(빨강, 노랑 각 ½개), 도토리묵(250g), 해조국수(1팩=180g), 스테비아(0.3Ts), 식초(1Ts), 간장(0.5Ts), 스리라차소스(1Ts), 매실청(0.5Ts), 다진 마늘(1.5Ts), 참깨(0.5Ts)","['오이, 양파, 파프리카는 같은 길이로 채 썰고, 도토리묵은 2~3cm 두께로 채 썬다. ', '양파는 찬물에 5분간 담가 매운맛을 제거하고, 해조국수는 찬물에 헹궈 건진다. ', '양념장을 만든다. ', '그릇에 해조국수를 가운데 담고, 손질한 채소와 묵을 올린다. ', '양념장을 곁들여 마무리한다.']",106.2,21.2,2.7,1.2,357.6
18,닭봉 로제스튜,"[ 2인분 ] 양파(3개), 마늘(5쪽), 감자(1개), 파프리카(빨강, 노랑 각 ⅓개), 당근(½개), 브로콜리(½개), 닭봉(20개), 통조림 홀토마토(2캔=822g), 생크림(1컵), 파르메산 치즈가루(1컵) 월계수잎(1장), 소금(0.5Ts), 후춧가루(0.3Ts), 올리브유(5Ts), 화이트와인(⅓컵), 강황(1Ts), 코리앤더가루(0.5Ts), 커민(1Ts), 레드크러쉬드 페퍼(1Ts), 바질가루(0.5Ts), 오레가노가루(1Ts), 버터(2Ts)","['양파와 마늘은 다지고, 감자, 파프리카, 당근은 한입 크기로 썰고, 브로콜리는 송이만 떼어낸다. ', '닭봉은 밑간해 15분간 재운다. ', '중간 불로 달군 팬에 올리브유를 두르고, 다진 양파와 마늘을 넣어 양파가 갈색이 될 때까지 볶고, 화이트와인을 넣어 자작해질 때까지 볶고, 월계수잎과 홀토마토를 넣어 으깬 뒤 5분간 끓인다. ', '강황, 코리앤더가루, 커민, 레드크러쉬드 페퍼, 바질가루, 오레가노 가루를 넣어 섞고, 한 김 식힌 뒤 믹서에 곱게 갈아 토마토소스를 만든다. ', '밑간한 닭봉은 중간 불로 달군 팬에 버터를 둘러 앞뒤로 노릇하게 익혀 꺼낸다. ', '같은 팬에 손질한 채소를 넣어 볶다가 구운 닭봉, 토마토소스를 넣어 10분간 끓이고, 생크림과 파르메산 치즈가루를 넣어 자작해질 때까지 졸여 마무리한다.']",379.0,14.3,28.0,23.3,340.6
19,수제새우소시지,"[ 2인분 ] 양파(½개), 칵테일새우(14마리), 라이스페이퍼(8장), 깻잎(3장), 감자전분(2Ts), 후춧가루(약간), 레몬즙(1ts), 다진 마늘(2Ts), 올리브유(2ts), 다진 마늘(1Ts), 올리고당(1Ts), 파슬리가루(1ts)","['양파와 깻잎은 곱게 다지고, 칵테일새우는 깨끗하게 씻은 뒤 곱게 다진다. ', '다진 양파, 깻잎, 새우에 양념을 넣어 고루 섞은 뒤 치대 새우반죽을 만든다. ', '뜨거운 물(4컵)에 라이스페이퍼를 살짝 담갔다 꺼내 식용유를 바른 도마 위에 올린다. ', '지퍼백에 새우반죽을 넣은 뒤 가위로 끝부분을 잘라 라이스페이퍼 위에 반죽을 짜 올리고, 돌돌 말아 새우소시지를 만든다. ', '중간 불로 달군 팬에 식용유를 둘러 새우소시지를 올린 뒤 겉면이 하얗게 변할 때까지 노릇하게 굽는다. ', '그릇에 담고 마늘소스를 윗면에 발라 마무리한다.']",266.5,41.7,10.1,6.6,317
20,금태찜,"금태 50g, 소금 0.1g, 흰후춧가루 0.1g, 청주 3g, 생강즙 3g, 녹말가루 1g, 콩나물 16g, 미나리 12g, 느타리버섯 16g, 홍고추 0.8g, 당근 10g, 대파 4g, 무 16g [소스소개] 찜소스:다시마국물 100g, 간장 2g, 맛술 2g, 식초 1g","['금태는 아가미와 내장을 제거 한 후 몸통에 어슷하게 칼집을 넣어 소금, 흰후추, 청주, 생강즙으로 밑간을 해둔다. ', '밑간 한 금태의 수분을 닦고 녹말가루를 고루 묻힌다.', '콩나물은 머리와 꼬리를 떼고 미나리는 7cm 길이로 썰고 느타리버섯은 굵게 찢고 홍고추, 대파, 당근, 무는 채썬다.', '다시마 국물에 간장, 맛술, 식초를 섞어 찜소스를 만든다.', '찜그릇에 무, 당근 채썬 것을 놓고 녹말 입힌 도미와 찜소스를 얹어 찐다.', '중간 중간 소스를 뿌려 주고 느타리버섯, 미나리, 홍고추, 콩나물, 채썬 대파를 얹어 찐다.']",73.8,7.6,10.8,0.6,305
21,김자반,"김 10g, 마늘 8g, 생강 5g, 통깨 1.3g [소스소개]양념간장:물 30g, 간장 2g, 설탕 2g, 물엿 1g, 식초 1g, 홍고추 1g","['김은 티를 골라낸다.', '홍고추, 마늘, 생강은 곱게 채썬다.', '간장소스의 양념들은 모두 합하여 20분 가량 낮은 불에서 끓여서 식힌다.', '김은 먹기 좋은 크기로 12~18등분으로 자른다.', '양념간장에 마늘, 생강, 홍고추채를 섞는다.', '김을 차곡차곡 쌓은 뒤 양념간장을 위에 부어준다.']",45.2,10.4,4.8,0.9,232
22,꽁치 양념구이,"꽁치 60g, 후춧가루 0.1g, 밀가루 4g, 녹말가루 8g, 식용유 2g [소스소개]저나트륨고추장소스:토마토케첩 2g, 고추장 2g, 마늘 2g, 생강즙 2.4g, 청고추다진것 4g, 홍고추다진것 2g, 물엿 20g, 간장 1g, 물 75g, 맛술 5g","['꽁치는 머리와 내장을 제거해 손질하고 칼집을 낸다.', '손질한 꽁치에 후춧가루와 청주를 뿌려 밑간해 둔다.', '밑간해 둔 꽁치의 수분을 제거하고 밀가루를 묻힌다.', '밀가루 묻힌 꽁치를 팬에서 노릇하게 굽는다.', '팬에 저나트륨 고추장소스 재료를 넣고 살짝 졸인다.', '구워진 꽁치에 소스를 뿌려낸다.']",234.4,28.9,12.7,7.2,169
23,꽃게강정,"꽃게 120g, 후춧가루 0.3g, 청고추 1g, 홍고추 1g, 토마토케첩 4g, 마늘 1.3g, 생강 0.5g, 생강즙 4g, 찹쌀가루 8g, 식용유 10g [소스소개] 매운고추소스:매운 고춧가루 1.3g, 맛술 8g, 간장 2g, 물엿 10g","['꽃게를 잘 손질한다.', '손질한 꽃게에 생강즙과 후춧가루로 간을 한다.', '청·홍고추는 사방 0.7cm로 썰고 생강은 다진다.', '매운 고추소스의 재료들을 모두 섞고 냄비에 넣어 끓이다가 준비해둔 채소들을 넣고 한소큼 끓여준다.', '꽃게에 찹쌀가루를 묻혀 튀긴다.', '4의 소스에 넣고 섞는다.']",261.0,21.9,17.6,11.1,470
24,낙지강회,"낙지 50g, 실파 30g, 미역마른것 3g, 쌈다시마 0.5g, 당근 10g [소스소개] 고추장 1g, 식초 2g, 설탕 2g, 사과주스 5g, 고춧가루 1g","['낙지는 내장을 손질하고 밀가루로 비벼 씻는다.', '씻어낸 낙지는 끓는 소금물에 살짝 데쳐서 다리를 하나씩 떼어 낸다.', '실파는 데치고 불린 미역과 다시마도 데쳐서 알맞게 자른다.', '당근은 채썰어 준비해 둔다.', '데친 낙지를 절반씩 실파와 미역, 다시마로 감는다.', '저나트륨 고추장소스를 만들어 곁들인다.']",51.9,7.1,6.8,0.4,153
25,낙지 잣소스 냉채,"낙지 50g, 오이 20g, 밤 15g, 미나리 15g, 배 30g, 홍피망 12g [소스소개] 잣소스:잣20g, 배즙 37.5, 흰후춧가루 0.1g레몬즙 5g, 소금 0.3g","['낙지는 밀가루를 넣어 주물러 미끈거리는 것을 씻어내고 흐르는 물에 헹군다.', '끓는 물에 데쳐 한 입 크기로 썬다.', '오이는 가운데 씨를 잘라낸 뒤 눈썹 모양으로 썰고 홍피망과 미나리는 5cm 길이로 썬다.', '배는 굵게 채 썰고 밤은 얇게 썬다.', '잣은 곱게 다져 분마기에 넣고 배즙을 조금씩 넣어가며 뽀얗게 즙을 내고 레몬즙과 흰후춧가루, 소금을 넣어준다.', '준비된 재료를 잣소스에 버무린다.']",226.7,18.5,10.0,14.3,233
26,두부 해산물 꼬치구이,"두부 100g, 소라살 16g, 패주 16g, 소금 0.2 [소스소개]마늘올리브유소스:마늘 0.2g, 올리브유 7g, 바질다진것 0.6g, 방울토마토 8g","['두부는 4x1.5x1cm 크기로 썬 후 소금을 뿌려 물기를 제거한다.', '소라살은 내장을 뺀 뒤 반으로 가르고 패주는 주위의 지저분한 막을 벗겨 깨끗이 손질한 뒤 2~3등분 한다. ', '바질 잎은 다진다.', '볼에 다진 마늘을 담고 소금 간을 한 뒤 올리브유를 조금씩 넣으면서 한 방향으로 젓다가 다진 바질을 넣어 마늘 올리브유 소스를 만든다.', '두부와 해산물을 차례로 꼬치에 끼워 붓으로 소스를 고루 바른다.', '예열된 250℃ 오븐이나 그릴에서 노릇하게 구워낸다.']",182.6,2.6,15.6,12.8,146
27,마 두부 오징어전,"두부 60g, 마 60g, 표고버섯마른것 3.5g, 오징어 6g, 소금 0.2g, 후춧가루 0.1g, 녹말 0.8g, 식용유 4.8g, 홍고추 0.5g[소스소개] 양념장:간장 1.5g, 조미술 1.5g, 설탕 0.5g, 식초 0.5g","['두부는 소창에 싸서 으깬다.', '마는 껍질을 벗기고 강판에 간다.', '홍고추는 다지고 표고버섯은 물에 불린 후 잘게 다진다. 오징어도 손질하여 잘게 다진다.', '두부와 마, 다진 재료들을 모두 섞어 소금, 후춧가루로 간한다.', '반죽을 한 스푼씩 떠 식용유를 넣은 팬에 노릇하게 구워낸다.', '재료를 섞어 양념장을 만들어 함께 낸다']",173.3,16.8,10.6,8.8,159
28,멸치 찹쌀양념 튀김,"멸치중간것 10g, 찹쌀가루 5g, 식용유 2g, 땅콩 13g [소스소개]고추장소스:고추장 2g, 간장 0.5g, 양파즙 10g, 마늘즙 1g, 생강즙 0.5g, 맛술 5g, 설탕 3g, 물엿 3g, 식용유 2g, 참기름 0.3g, 흑임자 4g, 실파 5g","['멸치는 티를 골라내어 선별해 두고 실파는 썬다.', '팬에 식용유를 두르고 소스의 양념들을 넣어 최대한 낮은 불에서 서서히 졸여 농도를 낸다.', '찹쌀가루 중 1/3분량만 묽게 풀을 쑤어 식힌다.', '멸치에 풀을 가볍게 익히고 남은 찹쌀가루를 묻힌다.', '튀김기름의 온도를 170~180℃에 맞추어 4의 멸치를 재빨리 튀겨낸다.', '식은 후에 (2)의 소스에 버무리거나 끼얹어 낸다.']",212.9,17.6,8.8,13.1,181
29,미역 물오징어 연두부 초회,"연두부큰것 25g, 불린미역 25g, 물오징어 25g, 꽈리고추 4.2g [소스소개] 저나트륨양념장:고추장 2.5g, 간장 0.8g, 물엿 1g, 레몬즙 0.8g, 식초 0.8g, 마늘다진것 0.2g, 생강즙 1g, 파다진것 0.2g, 참기름 0.1g, 통깨 0.2g","['연두부는 작은 숟가락으로 떠 놓는다. ', '불린 미역은 4cm 길이로 썬다.', '오징어는 껍질을 벗기고 칼집을 넣어 데친다.', '데친 오징어는 솔방울 모양으로 자른다. ', '꽈리고추는 데친다. ', '재료를 보기좋게 담고 양념장을 곁들여 낸다.']",48.3,3.9,7.0,1.2,171
30,부추조개살 콩비지조림,"콩비지 20g, 조갯살 20g, 부추 5g, 당근 5g [소스소개]조림장:간장 1g, 청주 1g, 조미술 1g, 설탕 1g, 생강즙 1g, 마늘다진것 0.5g","['조갯살은 연한 소금물로 헹구어 물기를 뺀다. ', '부추는 2~3cm 길이로 썰고 당근은 짧게 채 썬다. ', '냄비에 분량의 조림장 재료를 전부 넣고 한소큼 끓어 오르면 조갯살을 넣어 살짝 데쳐 건져둔다. ', '3의 냄비에 물 3컵을 더 넣고 당근을 넣어 조림장 분량이 2/3정도가 될 때까지 졸인다.', '다른 팬에 기름을 두르지 않고 콩비지를 넣어 보슬보슬해질 때 까지 볶는다.', '5에 4를 전부 붓고 채썬 부추와 데친 조갯살도 넣어 간이 고루 들도록 저어가며 볶는다.']",36.0,5.3,3.3,0.5,62
31,연어냉채,"훈재연어 40g, 흰후춧가루 0.01g, 녹말가루 2.4g, 오이 3.8g, 래디쉬 15g, 샐러리 7.5g, 배 7.5g [소스소개] 저나트륨파인애플소스:파인애플 3g, 파인애플 통조림 국물 4.5g, 올리브오일 3.6g, 레몬즙 1.5g, 사과 4.5g, 소금 0.2g, 설탕 1.5g","['연어는 주사위모양으로 썬다.', '흰후춧가루를 살짝 뿌린 후 녹말가루를 묻힌다.', '녹말을 묻힌 연어는 김 오른 찜통에 찌고 식혀둔다. ', '오이, 래디쉬, 셀러리, 배는 곱게 채썰어 냉수에 담갔다가 건진다. ', '캔 파인애플을 잘게 썰어 분량의 재료들과 함께 믹서기에 곱게 간다. ', '접시에 준비된 채소와 찐 연어를 담고 소스를 곁들인다.']",129.0,7.4,9.4,6.7,398
32,비트 단호박 파스타,"삶은 스파게티(80g), 감자(10g), 파르메산 치즈가루(약간), 어린잎채소(약간), 비트(40g), 올리브유(30g), 스리라차소스(5g), 마늘(10g), 미니 단호박(70g), 생크림(100g), 설탕(3g)","['믹서에 비트소스 재료를 넣어 곱게 갈아 삶은 스파게티에 넣어 버무린다.', '미니 단호박은 잘게 자른 뒤 끓는 물에 3분간 익혀 건진다.', '익힌 미니 단호박은 믹서에 곱게 간 뒤 생크림으로 농도를 맞추고 설탕으로 간하여 단호박소스를 만든다.', '감자는 얇게 모양대로 썬다.', '중간 불로 달군 팬에 얇게 썬 감자를 2분간 볶아 바삭하게 만들어 잘게 부순다.', '그릇에 단호박소스를 붓고, 비트소스를 버무린 스파게티를 담은 뒤 어린잎채소, 파르메산 치즈가루, 잘게 부순 감자를 올려 마무리한다.']",340.5,40.5,6.9,16.8,136.4
