,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
10,양배추감자전,"*주재료 : 감자 100g(1개), 양배추 150g(1/2개), 당근 15g(1/10개), 두부 20g(1/20모), 돼지고기 30g, 청양고추 5g(1개), 부침가루 45g(3큰술), 달걀 60g(1개), 식용유 15g(1큰술)*소스 : 오렌지즙 15g(1큰술), 간장 2g(1/2작은술), 식초 10g(2작은술)","['감자는 믹서에 갈고 양배추는 채 썰고 고기, 당근, 청양고추, 두부는 다진다.', '준비해둔 재료를 모두 섞고 부침가루와 계란을 넣어 반죽한다.', '가열된 팬에 기름을 두르고 반죽을 부어 굽고 소스를 함께 곁들인다.']",148,14,7,6,107
11,돌나물 샐러드,"*돌나물 샐러드 : 돌나물 90g, 미니새송이버섯 60g(7개), 참기름 약간*레몬마요네즈 소스 : 마요네즈 10g(2작은술), 레몬즙 20g(1⅓큰술), 청양고추 5g(1/2개), 홍고추 5g(1/2개), 참기름 약간","['청양고추와 홍고추를 다져서 참기름에 살짝 볶은 후 볶은 고추에 마요네즈와 레몬즙을 넣어 소스를 만든다.', '돌나물은 손질하여 찬물에 담구고 새송이버섯은 달군 프라이팬에 참기름을 두르고 노릇\n하게 굽는다.', '돌나물은 물기를 빼고 구운 새송이버섯과 레몬마요네즈 소스를 넣고\n버무려 접시에 담는다.']",235,2,3,24,151
12,민들레 샐러드,"*주재료 : 민들레 잎 40g, 비트 5g(1작은술), 오렌지(껍질) 40g(1/5개)*드레싱 : 간장 20g(1⅓큰술), 다진 홍고추 10g(1개), 레몬즙 60g(4큰술), 설탕 6g(1작은술)","['간장, 레몬즙, 설탕, 다진 홍고추를 섞어 드레싱을 만든다.', '민들레 잎은 4×4cm로 썰고, 비트는 채 썰고 물에 담가 색을 뺀다. ', '오렌지는 씻어 껍질만 발라 채 썰고 민들레 잎, 비트, 오렌지 껍질을 섞어 접시에 담고 드레싱을 곁들인다.']",53,10,2,0,874
13,토마토 가지 카프레제,"*주재료 : 가지 100g(1개), 토마토 200g(1½개), 무순 20g, 마늘 10g(2개), 올리브오일 5g(1작은술)*드레싱 : 올리브오일 25g(2큰술), 발사믹식초 60g(4큰술), 후춧가루 2g(1/2작은술)","['올리브오일, 발사믹식초, 후춧가루를 섞어 차게 식혀 드레싱을 만든다.', '가지와 토마토는 5mm두께로 썰고 120도 오븐에 20분 구운 후 구운 가지는 물기를 제거한다.', '팬에 올리브오일을 두르고 약불에서 채 썬 마늘을 볶다가, 가지를 넣고 구운 후 접시에 토마토, 가지를 번갈아 담고 무순으로 장식하고 드레싱을 곁들인다.']",90,7,1,6,11
14,우렁된장소스 배추롤,"돼지고기(50g), 배춧잎(5장), 부추(30g), 쌀(100g), 당근(20g),표고버섯(2개), 양파(50g), 애호박(1/2개), 우렁이(100g),된장(30g)","['끓는 물에 배춧잎을 데친다.', '당근, 호박, 표고버섯, 양파는\n입자있게 다진다.', '돼지고기를 썰어 불린 쌀, 다진 야채와\n함께 밥을 짓는다.', '데친 배춧잎에 지어놓은 밥을 올려\n돌돌만다.', '말아 놓은 배춧잎을 부추로 묶는다.', '찜통에 김이 오르면 ?번을 넣고 약 5분\n정도 찐다.']",326,43,22,7,976
15,인삼떡갈비,"소고기(100g), 돼지고기(100g), 대추(3알), 양파(30g),마늘(20g), 배(1/4개), 애호박(1/2개), 단호박(1/4개),파프리카(50g), 인삼(1뿌리), 양송이(5개), 배추잎(5장),저염간장(20g), 설탕(20g), 소금(0.2g), 후춧가루(0.01g)두부(50g)","['대추는 돌려 깍아 씨를 제거 하고 곱게\n다진다.', '다진 소고기와 돼지고기에 대추와 소금\n후춧가루를 넣고 치댄다.', '애호박과 단호박, 파프리카는\n입자있게 썰어 ?에 넣고 잘 치댄다.', '양송이는 편으로 썰어 팬에 익히고,\n인삼을 뇌두를 자르고 깨끗이 씻어\n팬에 볶아 잘게 썰어 ?에 넣는다.', '재료가 골고루 섞인 떡갈비를 갈비\n모양으로 만든다.', '떡갈비를 팬에 굽고, 접시에 배춧잎을\n깔고 익힌 양송이를 올리고 떡갈비를\n담는다.']",253,15,26,9,196
16,호박잎 삼계탕,"호박잎(5장), 닭고기(가슴살, 120g), 찹쌀(100g), 대추(3알),미나리(20g), 인삼(1뿌리), 소금(0.2g), 후춧가루(0.01g)","['찹쌀은 깨끗이 씻어 30분 정도 불린다', '불린 찹쌀은 냄비에 넣고 질게 밥을\n한다.', '닭가슴살은 넓게 펴서 소금,\n후춧가루를 뿌린다.', '호박잎과 미나리는 끓는 물에 살짝\n데치고, 대추는 돌려 깎아 씨를\n제거하고 인삼은 뇌두를 제거한 뒤\n채를 썰어둔다.', '데친 호박잎에 닭 가슴살을 올린다.', '닭 가슴살위에 찹쌀밥과 준비한 야채와\n대추를 올려 돌돌 말아 질게 된\n찹쌀밥에 넣고 약 20분 정도 더 쪄낸다.']",314,53,16,3,55
17,황태미역 곤약스프,"황태채(100g), 곤약(100g), 건미역(20g), 들깨가루(20g),두부(50g), 된장(10g), 액젓(10g), 표고버섯(1개), 마늘(10g),참기름(5g)","['된장에 두부를 넣고 골고루 섞는다.', '표고버섯과 마늘은 함께 갈아둔다.', '미역은 충분히 불린다.', '냄비에 황태채와 갈아둔 표고버섯,\n마늘을 넣고 은근히 끓여 육수를\n만든다.', '곤약은 납작납작하게 썰어 끓는 물에\n데친다.', '육수에서 황태를 건져 두부된장과 함께\n갈아 육수에 붓고, 미역, 곤약,\n들깨가루를 넣고 약 20분 정도 끓인 후\n액젓으로 간을 한다.']",124,3,14,6,790
18,훈제오리가슴살 샐러드,"오리고기(훈제오리 가슴살, 150g), 발사믹소스(50g),양파(30g), 파슬리(5g), 블루베리(20g), 레디쉬(1개)","['훈제오리 가슴살을 슬라이스한다.', '슬라이스한 훈제오리는 팬에 굽는다.', '양파는 채썰고 찬물에 담근 뒤 건진다.', '레디쉬는 채썰고 찬물에 담근 뒤\n건진다.', '먹기 직전에 발사믹소스를 만든다.', '접시에 훈제오리와 양파채, 레디쉬,\n블루베리를 담고 발사믹소스를\n올린다.']",261,11,21,14,636
19,훈제오리가슴살크러스트,"오리고기(훈제오리 가슴살, 150g), 로즈마리(2g), 오렌지(1개),새송이버섯(1개), 파슬리(5g), 땅콩(50g), 올리브오일(20g),유자청(20g), 후춧가루(0.5g","['훈제오리 가슴살은 올리브오일,\n로즈마리, 후춧가루로\n마리네이드한다.', '새송이버섯은 편으로 썰고 팬에\n굽는다.', '오렌지는 슬라이스로 썬다.', '땅콩과 파슬리는 입자있게 다진다.', '마리네이드한 오리 고기를 구워 접시에\n담는다.', '유자청에 땅콩, 파슬리가루를 넣고\n소스를 만들고, 구워진 오리고기\n사이에 오렌지 슬라이스를 넣고\n유자청소스를 올린다.']",250,13,17,14,352
20,검은콩국수,"검은콩(200g), 메밀면(120g), 오이(30g), 방울토마토(1개),땅콩(20g), 잣(10g), 참깨(5g)","['검은콩은 깨끗이 씻어 약 12시간 정도\n충분히 불린다.', '불린 검은콩은 20분 정도 삶아 깨끗이\n씻는다.', '삶은 검은콩은 믹서기에 곱게 갈아\n차갑게 식힌다.', '오이는 씨를 제거하고 깨끗이 씻어\n채썬다.', '물을 끓여 메밀면을 삶고, 찬물에\n여러번 헹구어 건져 물기를 뺀다.', '메밀면을 그릇에 담고 차가운 콩 국물,\n땅콩, 잣, 오이, 방울토마토 및 통깨를\n올린다.']",343,68,11,3,633
21,겨자소스로 구운 산마샐러드,"산마(100g), 참나물(20g), 돈나물(20g), 토마토(100g),레디쉬(1개), 어린잎(10g), 저염간장(20g), 식초(10g),설탕(20g), 겨자가루(10g).","['어린잎은 찬물에 담근다.', '마는 껍질을 벗겨 동글동글하게 썬다', '썰어 놓은 마는 팬에 기름을 살짝\n두르고 앞뒤로 굽는다.', '참나물, 돈나물, 토마토, 레디쉬는\n먹기 좋은 크기로 썬다.', '겨자가루는 30℃ 물을 섞어 발효\n시킨다.', '저염간장에 식초, 설탕, 발효겨자를\n넣고 골고루 섞어 소스를 만들고,\n접시에 구운 마와 손질한 야채를 넣고\n만들어 놓은 소스와 어린잎을 올린다.']",112,16,3,4,144
22,닭고기김치찌개," 닭가슴살(60g), 애호박(30g), 미나리(20g), 청양고추(3g), 두부(60g)김치(120g), 참기름(20g), 느타리버섯(10g), 달걀(50g)육수 다시마(5g), 무(40g), 대파(5g), 양파(10g), 마른 고추(3g), 멸치(10g)마늘(10g), 청주(10g), 물(300g)","['육수 재료를 넣고 중간 불로 끓인 뒤\n체에 걸러 육수를 만든다.', '닭가슴살은 채 썬 뒤 물에 넣고\n삶는다.', '애호박은 반달 썰고, 미나리는 5㎝\n길이로 썰고, 청양고추는 잘게 썬 뒤\n찬물에 담가 씨를 빼고, 두부는 한입\n크기로 썰어 물에 담가둔다.', '김치를 한입 크기로 썬 뒤 참기름에\n볶다가 육수를 붓는다.', '두부, 애호박, 느타리버섯, 미나리,\n닭가슴살을 넣어 끓어오르면\n달걀물과 청양고추를 넣고 조금\n더 끓여 마무리한다.']",277,1,5,2,776
23,완자김치찌개," 콩나물(30g), 김치(50g)두부(40g), 붉은 고추(15g)다진 돼지고기(등심, 60g), 새우젓(5g)육수 대파(10g), 마늘(5g), 쇠고기(50g)","['대파, 마늘, 쇠고기를 물(300g)과\n함께 끓인 뒤 면포에 걸러 육수를\n만든다.', '콩나물, 김치를 물에 씻어 손질한다.', '두부는 물기를 빼고, 붉은 고추는\n다진 뒤 돼지고기와 섞어 반죽해\n동그랗게 빚어 완자를 만든다.', '김 오른 찜기에 완자를 넣어 찐다.', '육수를 끓이고 끓어오르면 김치,\n콩나물, 새우젓을 넣는다.', '한소끔 더 끓이다가 완자를 넣고\n조금 더 끓여 마무리한다.']",161,1,6,2,355
24,백김치콩비지찌개," 풋고추(10g), 백김치(100g), 콩비지(100g*양념 참기름(8g), 후춧가루(0.2g), 다진 마늘(10g), 간장(2g)","['풋고추는 잘게 다진다.', '백김치는 먹기 좋은 크기로 썬다.', '냄비에 백김치를 볶다가 김치가\n익으면 참기름, 후춧가루,\n다진 마늘을 넣고 볶는다.', '물(200g)을 넣고 끓인다.', '물이 끓으면 콩비지와 간장,\n풋고추를 넣어 약한 불에서 15분\n정도 끓여 마무리한다.']",195,3,2,2,447
25,오징어김치찌개," 오징어(100g), 두부(50g), 팽이버섯(20g), 붉은 고추(4g)고구마(30g), 콩나물(20g), 김치(140g), 쑥갓(20g)육수 무(50g), 다시마(5g), 대파(20g), 멸치(10g), 물(300g*양념 참기름(10g), 들깻가루(5g)","['육수 재료를 넣고 끓인 뒤 체로 걸러\n육수를 낸다.', '오징어 몸통은 큼지막하게 썰고\n다리는 얇게 썬다.', '두부와 버섯은 먹기 좋게 썰고,\n고추는 어슷하게 썰고, 고구마는\n먹기 좋은 크기로 썰고, 콩나물은\n다듬는다.', '김치는 먹기 좋은 크기로 썬 뒤\n냄비에 참기름을 두르고 볶다가\n고구마, 콩나물, 육수를 넣고 끓인다.', '자작하게 끓으면 오징어를 넣고\n끓이고, 오징어가 익으면 들깻가루를\n넣고 끓인다.', '두부, 팽이버섯, 쑥갓, 고구마,\n붉은 고추를 넣고 끓여 마무리한다.']",159,2,2,0,549
26,해물김치찌개,"*필수 재료 : 주꾸미(40g), 김치(40g), 무(10g), 마늘(3g), 대파(3g), 양파(10g), 두부(10g), 참기름(3g), 배즙(10g), 팽이버섯(3g)?육수  : 다시마(5g), 멸치(10g), 물(300g)","['냄비에 육수 재료를 넣고 끓이다가 물이 끓어오르면 다시마를 건지고 조금 더 끓여 육수를 우려낸다.', '주꾸미는 내장과 입, 눈을 제거하고 4cm 크기로 잘라 준비한다.', '김치는 국물을 꽉 짜서 한입 크기로 썰고, 무는 편 썰고, 마늘은 다지고, 대파는 어슷 썰고, 양파는 굵게 채 썰고, 두부는 납작하게 썬다.', '냄비에 참기름을 두르고, 김치, 무, 양파가 투명해질 때까지 볶다가 육수를 붓고 끓으면 주꾸미, 다진 마늘을 넣어 더 끓인다.', '김칫국물과 배즙을 2:1로 섞은 뒤 찌개에 넣어 간을 맞춘다.', '두부, 팽이버섯을 넣고 한소끔 끓여 마무리한다']",53,5,3,2,385
27,맑은부대찌개," 느타리버섯(10g), 두부(50g), 콩나물(10g)배추(40g), 미나리(20g), 돼지고기(50g)쇠고기(50g), 불린 당면(10g), 조랭이떡(30g)다시마육수 다시마(3g), 양파(30g), 대파(20g)무(30g), 마른 고추(5g)고기완*양념 생강즙(2g), 다진 파(10g)다진 마늘(5g), 후춧가루(0.1g), 소금(0.1g","['다시마육수재료를 물에 넣고 끓여\n육수를 낸다.', '느타리버섯은 가닥가닥 떼고, 두부는\n썰고, 콩나물은 머리와 꼬리를 떼\n손질한다.', '배추와 미나리를 데친다.', '돼지고기, 쇠고기에 고기완자양념을\n넣어 반죽한 뒤 빚어 완자를 만든다.', '냄비에 모든 재료를 돌려 담은 뒤\n육수를 부어 끓인다.']",395,8,6,2,334
28,나가사키부대찌개," 통조림 햄(30g), 우유(100g), 실곤약(50g), 양파(30g), 느타리버섯(25g)표고버섯(10g), 팽이버섯(30g), 청양고추(5g), 붉은 고추(5g), 감자(30g)무(30g), 두부(40g), 애호박(30g), 깻잎(3g), 쑥갓(10g)완자 다진 돼지고기(20g), 다진 파(5g), 다진 마늘(5g), 후춧가루(1g)소금(1g), 밀가루(10g), 달걀노른자(20g)육수 사골육수(300g), 다시마(5g*양념 들깻가루(15g)","['통조림 햄은 한 번 데친 뒤 우유에\n담가두고, 실곤약은 식초를 넣은\n끓는 물에 살짝 데친다.', '양파는 굵게 채 썰고, 느타리버섯은\n찢고, 표고버섯은 모양대로 썰고,\n팽이버섯은 끝부분을 잘라내고,\n청양고추와 붉은 고추는 어슷 썬다.', '감자, 무, 두부는 0.5㎝ 두께로 썰고,\n애호박은 반달썰기 하고 깻잎은\n채 썰어 찬물에 담가 매운맛을\n제거한다.', '사골육수에 다시마를 넣어 끓인 후\n한 김 식힌다.', '다진 돼지고기에 다진 파, 다진 마늘,\n후춧가루, 소금을 섞어 완자를\n만들고 밀가루와 달걀물을 묻혀\n식용유(5g)를 두른 팬에 부친다.', '냄비에 재료를 보기 좋게 담고\n사골육수를 부은 뒤 끓이다가\n쑥갓과 들깻가루를 넣어 마무리한다.']",342,3,5,3,778
29,삼계부대찌개," 닭가슴살(100g), 당근(20g), 붉은 고추(6g)풋고추(6g), 대파(6g), 쑥갓(4g), 표고버섯(14g)애호박(60g), 김치(40g), 팽이버섯(40g)당면(21g), 숙주(40g), 떡(40g)육수 당귀(10g), 대추(20g), 오가피(30g), 함초(20g*양념장 겨자가루(5g), 고춧가루(20g), 콩가루(5g), 쌀겨(5g), 다진 마늘(3g)","['육수 재료를 넣고 20분간 끓여\n육수를 낸다.', '닭가슴살과 당근을 다져 모양을\n잡은 뒤 김 오른 찜기에 넣고 찐다.', '고추, 대파는 어슷 썰고, 쑥갓,\n표고버섯, 애호박, 김치는 먹기\n좋은 크기로 썰고, 팽이버섯은\n밑동을 잘라 손질한다.', '당면과 숙주는 뜨거운 물에 데쳐\n준비한다.', '양념장 재료를 섞은 뒤 육수(13g)를\n넣고 양념장을 만든다.', '준비한 재료를 담고 육수를 부은 뒤\n양념장을 넣고 끓여 마무리한다.']",299,8,4,0,163
30,쑥갓부대찌개,"*필수 재료 : 통조림 햄(30g), 애호박(20g), 두부(20g), 팽이버섯(20g), 청양고추(5g), 김치(30g), 쑥갓(4g)?육수 : 다시마(5g), 물(200g)*양념장 : 설탕(0.5g), 고춧가루(4g), 다진마늘(2g), 고추장(2g)","['통조림 햄을 썰어 끓는 물에 데친다.', '애호박은 반달모양으로 썰고, 두부는 도톰하게 썰고, 팽이버섯은 3등분하고, 청양고추는 어슷 썬다.', '김치는 씻어서 잘게 썬다.', '양념장을 만든다.', '냄비에 물과 다시마를 넣고 살짝 끓여 육수를 만든다.', '육수에 손질한 재료를 담고 양념장의 1/2 분량을 넣고 중간 불에 끓이다가 쑥갓과 남은 양념장을 넣고 약한 불에 조금 더 끓여 마무리한다.']",126,9,6,6,347
31,초계탕과 사색곤약,"닭고기(1마리), 가시오가피(10g), 대파(20g), 다시마(10g),건새우(20g), 실곤약(100g), 비트(30g), 치자가루(10g),마늘(20g), 소금(0.3g), 후춧가루(0.01g), 양파(50g),오이(50g), 겨자가루(10g), 식초(20g), 설탕(20g)","['닭을 깨끗이 손질하고, 부위별로\n자른다.', '냄비에 가시오가피, 대파, 다시마,\n마늘, 건새우를 넣고 은근히 끓인 후\n닭을 넣고 약 20분 정도 삶아 건진 뒤\n살을 찢어둔다.', '양파, 오이는 채썰고 식초, 설탕,\n소금을 넣고 초절임한다', '겨자가루에 30℃ 정도의 물을 넣고\n골고루 섞어 발효시키고, 설탕, 식초,\n소금을 넣고 겨자소스를 만든다', '흰곤약과 비트, 치자가루를 섞은 곤약,\n채썬 다시마를 접시에 담는다.', '양파, 오이 초절임과 닭살을 한쪽에\n담아 먹기 직전에 겨자소스를 올린다.']",100,7,15,0,54
32,백태순두부찌개," 콩(백태, 30g), 느타리버섯(10g), 표고버섯(10g), 애호박(20g)양파(10g), 대파(5g), 붉은 고추(2g), 풋고추(2g), 바지락(30g)저염된장(10g), 새우(25g), 순두부(120g)육수 마른 다시마(1g), 멸치(1g), 물(250g)","['냄비에 육수 재료를 넣어 끓인다.', '콩을 충분히 불려 믹서기에 물을\n넣고 갈아 준비한다.', '느타리버섯은 찢고, 표고버섯은 먹기\n좋은 크기로 자르고, 애호박과\n양파는 깍둑 썰고, 대파와 고추는\n송송 썬다.', '바지락은 해감해 준비한다.', '육수에 콩, 느타리버섯, 표고버섯,\n애호박, 저염된장, 새우, 바지락을\n넣고 끊인다.', '순두부를 넣고 끊인 후 양파, 대파,\n붉은 고추, 풋고추를 넣고 한소끔\n끓여 마무리한다.']",165,2,3,1,640
33,버섯순두부찌개,"*필수 재료 : 표고버섯(3g), 애호박(10g), 감자(10g), 양파(3g), 미나리(3g), 부추(1g), 대파(1g), 청양고추(1g), 순두부(100g)?육수 : 다시마(3g), 표고버섯 밑동(3g), 물(250g)*양념 : 저염된장(5g), 찹쌀가루(3g), 다진마늘(1g), 들깻가루(7g), 저염국간장(1g)","['표고버섯은 머리와 밑동을 분리하고, 머리 부분은 잘게 썬다.', '애호박, 감자, 양파는 한입 크기로 썰고, 미나리와 부추는 3cm 길이로 썰고, 대파와 청양고추는 송송 썬다.', '물에 다시마, 표고버섯 밑동을 넣고 끓으면 건더기를 건져 육수를 만든다.', '육수에 저염된장과 찹쌀가루를 풀어 한소끔 끓이고, 감자와 다진마늘을 넣어 끓인다.', '애호박과 표고버섯을 넣고, 순두부, 양파, 들깻가루, 저염국간장을 넣어 한소끔 끓인다.', '대파, 청양고추, 미나리, 부추를 듬뿍 올려 마무리한다.']",85,6,6,3,243
34,토란순두부찌개," 토란(40g), 표고버섯(20g), 붉은 고추(1g), 청양고추(2g)백합(150g), 들깻가루(40g), 순두부(150g)","['토란은 2×2㎝로 썬다.', '표고버섯은 채 썰고, 고추는\n어슷하게 썬다.', '냄비에 물(500ml)을 넣고 물이\n끓으면 백합을 넣고 끓여 육수를\n낸다.', '조개가 입을 벌리면 토란과\n들깻가루, 표고버섯을 넣고 끓인다.', '육수가 어느 정도 걸쭉해지면\n순두부를 넣고 끓인다.', '붉은 고추와 청양고추를 올려\n마무리한다.']",312,2,3,2,409
35,토마토스프파스타,"홀토마토 200g, 토마토 100g, 다진양파 30g, 다진마늘 20g, 먹물파스타 25g, 치즈 25g파슬리가루 1g, 함초소금 1g, 올리브오일 30g곁들이 야채 : 양파 20g, 가지 20g, 2가지색 파프리카 20g, 애호박 20g","['토마토홀과 토마토는 송송 다져주고, 마늘,\n양파를 냄비에서 볶은 후 믹서에 갈아 토마토\n스프를 만들어준다.', '만들어진 스프를 볶아서 신맛을 날려준다.', '먹물파스타면은 삶은 뒤 오일에 버무려주고\n볶아준다.', '양파, 애호박, 가지, 2가지색 파프리카를 먹기\n좋게 잘라 팬에 볶아준다.', '접시에 볶아진 채소와 파스타면을 서로 다시\n볶아준다.', '치즈를 곱게 다져주고 접시에 파스타면을\n올린 뒤, 토마토스프와 치즈가루를 뿌려 완성\n한다.']",282,37,10,10,41
